ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,12,48012,2,0083,1,2,202209480122008311,39,1,1,1,1,2, ,1,50,1,1,3,10,1973,1, , , , , , , , , , , , , , , ,7111,4100,2, ,3,2,1,1,0,9,9,9,9,9,6,51, ,51,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1, , , , , , ,2097, , ,2097,2097,2097,1,188.691225934136
2023,12,48012,2,0083,1,2,202209480122008312,39,1,2,3,1,2, ,1,23,2,2,15,9,2000,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,5,0,7,7,7,7,7,6,41, ,41,1, ,2, ,2,2,2,400, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , ,1732, , , ,1732,1732,1732,1,172.61167308897
2023,12,48012,2,0083,1,2,202209480122008313,39,1,3,3,1,2, ,2,19,3,3,28,1,2004,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,192.661562673387
2023,12,01430,2,0009,1,2,202212014302000911,39,1,1,1,1,2, ,2,82,1,1,6,1,1941,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,5,2, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,181.469546061566
2023,12,01430,2,0009,1,2,202212014302000912,39,1,2,3,1,2, ,2,49,2,2,14,11,1974,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2, ,5120,5629,2, ,3,2,1,2,5,0,0,0,0,0,0,5,8,13,1, ,1,1,1,1, , , , , , , ,25,3, , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,8,1, ,30, ,3, , ,100, ,25,158,130,158,1,181.469546061566
2023,12,01430,2,0009,1,2,202212014302000913,39,1,3,5,1,2, ,2,16,3,3,21,7,2007,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2, ,9412,5629,4, ,3,2,1,2,0,0,0,0,0,1,0,1, , ,2,5,1,2, , , , , , , , , , , ,2,4,1,2, , , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,230.132937545068
2023,12,01430,2,0009,1,2,202212014302000914,39,1,4,5,2, ,2,2,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2023,12,01430,2,0009,1,2,202212014302000915,39,1,5,8,1,2, ,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,12,01430,2,0009,1,2,202212014302000916,39,1,6,5,1,2, ,2,35,6,6,26,1,1988,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,6,6,6,6,6,6,36, ,36,1, ,1,1,1,2,2,243, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1, , , , , ,1052, , , ,1052,1052,1052,1,212.922118546071
2023,12,01430,2,0006,1,2,202212014302000611,39,1,1,1,1,2, ,1,81,1,1,15,1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,8,2, , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,3, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,192.7311305546
