ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,10,12137,1,0069,2,2,202207121371006922,03,1,2,3,1,2, ,1,16,2,2,24,8,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,8,4, , , , , , , , , , , , ,1,269.475837643107
2023,10,12137,1,0069,3,2,202207121371006931,03,1,1,1,1,2, ,2,47,1,1,22,7,1976,1, , , , , , , , , , , , , , , ,9211,123,3,5,3,2,1,20,0,8,5,8,8,8,8,45, ,45,1, ,1,1,1,2,2,180, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , ,779, , , ,779,779,779,1,182.490149972082
2023,10,12137,1,0069,3,2,202207121371006932,03,1,2,3,1,2, ,2,20,2,2,6,5,2003,1, , , , , , , , , , , , , , , ,4417,6920,8,5,1, ,1,6,0,6,6,6,5,5,5,33, ,33,1, ,2, ,2,2,5, , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,8,2, ,2,2,2,2,2,2,10,7,1, , , , , , , , , ,0,0,0,1,264.566240364096
2023,10,12150,1,0045,1,2,202207121501004511,03,1,1,1,1,2, ,1,46,1,1,19,2,1977,1, , , , , , , , , , , , , , , ,8160,311,3,5,1, ,5,1000,0,0,10,10,10,10,8,48, ,48,1, ,1,2,2,2,2,270,60, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,3, ,2,2,2,2,2,2,2,1,1,1,260, , , ,742,1169, , , ,1429,1429,2171,1,212.495744992723
2023,10,12150,1,0046,1,2,202207121501004611,03,1,1,1,1,2, ,2,59,1,1,15,3,1964,1, , , , , , , , , , , , , , , ,9524,4781,2, ,3,2,1,1,8,8,8,8,8,8,8,56, ,56,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,3,3, ,2,2,2,2,2,2,10,8,1, ,17, , , , ,849, , ,866,866,866,1,169.122368384342
2023,10,12150,1,0046,1,2,202207121501004612,03,1,2,3,1,2, ,2,31,2,2,13,8,1992,1, , , , , , , , , , , , , , , ,5211,4630,2, ,3,2,1,1,6,6,6,6,6,6,6,42,21,63,1, ,2, ,2,2, , , , , ,500, , , , , , , , , , ,1,2,2, ,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,8,1, ,18, , , , ,7267,500, ,7785,7285,7785,1,214.79779005923
2023,10,12150,1,0046,1,2,202207121501004613,03,1,3,4,1,2, ,1,50,3,3,28,4,1973,1, , , , , , , , , , , , , , , ,5211,4630,1, ,3,2,1,4,6,6,6,6,6,6,6,42, ,42,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2,2, ,1,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,1, ,20, , , , ,2890, , ,2910,2910,2910,1,185.362399797183
2023,10,12150,1,0046,1,2,202207121501004614,03,1,4,5,1,2, ,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,12150,1,0046,1,2,202310121501004615,03,1,5,5,1,2, ,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,12150,1,0046,1,2,202307121501004616,03,1,6,98, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, 
2023,10,12150,1,0048,1,2,202207121501004811,03,1,1,1,1,2, ,2,59,1,1,19,5,1964,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,3,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,2,300,120, , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,2,2,2,2,10,5,1,520, , , , ,1299, , , ,1819,1819,1819,1,169.122368384342
2023,10,12150,1,0048,1,2,202207121501004813,03,1,2,3,1,2, ,1,40,2,2,17,4,1983,1, , , , , , , , , , , , , , , ,9313,4100,3,5,1, ,1,20,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2,2,1050, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , ,4547, , , ,4547,4547,4547,1,221.147245293238
