ANIO,MES,AREA,ESTRATO,LLAVE_PANEL,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,01,1,2,202107125061004011,12506,1,0040,1,1,1,1,2, ,2,69,1,1,4,1,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,7, , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4,5, ,1,2,2,2,2,2,1,8,3, , , , , , , , , , , , ,1,125.140011014596
2023,01,1,2,202107125061004012,12506,1,0040,1,2,5,1,2, ,1,26,2,2,9,11,1996,1, , , , , , , , , , , , , , , ,5131,5610,3,5,2,2,1,8,10,10,10,7,7,7,10,61, ,61,1, ,2, ,2,2,2,220,70, , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,10,1, ,2,2,2,2,2,2,10,6,1,303, , , , ,953, , , ,1256,1256,1256,1,142.029727473941
2023,01,1,2,202210121941001511,12194,1,0015,1,1,1,1,2, ,1,56,1,1,22,9,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,151.146861513431
2023,01,1,2,202210121941001512,12194,1,0015,1,2,2,1,2, ,2,50,2,2,22,12,1972,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,1,1,7, , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,8,3, , , , , , , , , , , , ,1,129.537672835251
2023,01,1,2,202210121941001513,12194,1,0015,1,3,3,1,2, ,2,20,3,3,19,3,2002,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2, , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,188.213757336278
2023,01,1,2,202210121941001514,12194,1,0015,1,4,3,1,2, ,2,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,01,1,2,202107122291003011,12229,1,0030,1,1,1,1,2, ,1,66,1,1,8,8,1956,1, , , , , , , , , , , , , , , ,2359,8549,2, ,3,2,1,1,0,2,2,0,0,0,0,4, ,4,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,185, , ,185,185,185,1,153.766528756048
2023,01,1,2,202107122291003012,12229,1,0030,1,2,2,1,2, ,2,66,2,2,23,5,1956,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,3, , ,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,131.782811072417
2023,01,1,2,202301125111010911,12511,1,0109,1,1,1,1,2, ,2,32,1,1,6,4,1990,1, , , , , , , , , , , , , , , ,0220,8423,3,1, , , , ,15,7,15,7,15,7,15,81, ,96,2,96,2, ,2,2,4,3100, , , , , , , , , , , , , , ,1,2, ,2, ,2, ,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,9,3, ,2,2,2,2,2,2,10,7,1, , , , ,83,3100, , , ,3100,3100,3183,1,292.436465282015
2023,01,1,2,202301125111010912,12511,1,0109,1,2,2,1,2, ,1,31,2,2,16,3,1991,1, , , , , , , , , , , , , , , ,0220,8423,3,1, , , , ,15,7,15,7,15,7,15,81, ,81,1, ,2, ,2,2,4,3000, , , , , , , , , , , , , , ,1,2, ,2, ,2, ,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,9,3, ,2,2,2,2,2,2,10,7,1, , , , ,75,3000, , , ,3000,3000,3075,1,315.030310754546
