ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CODCIUDAD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,10,03691,2,0077,1,1,202310036912007717,25,1,6,5,1,2, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,03691,2,0077,1,1,202310036912007718,25,1,7,3,1,2, ,1,29,7,7,8,9,1994,1, , , , , , , , , , , , , , , ,8321,4922,2, ,3,2,1,1,0,8,8,8,0,8,8,40,10,50,1, ,2, ,2,2, , , , , , , ,346, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,991, ,346,1337,991,1337,1,268.069415063949
2023,10,03691,2,0077,1,1,202310036912007719,25,1,8,4,1,2, ,2,25,8,8,25,7,1998,1, , , , , , , , , , , , , , , ,9111,9700,6, , , ,1,1,0,4,4,4,4,4,4,24,12,36,1, ,2, ,2,2,2,90, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4, ,6,2,2,2,2,2,2,10,5,1, , , , , ,390, , , ,390,390,390,1,220.65450130583
2023,10,03691,2,0077,1,1,2023100369120077110,25,1,9,5,1,2, ,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,03691,2,0077,1,1,2023100369120077111,25,1,10,5,1,2, ,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,10,03691,2,0078,1,1,202310036912007811,25,1,1,1,1,2, ,1,73,1,1,8,6,1950,1, , , , , , , , , , , , , , , ,9331,4923,2, ,3,2,1,1,0,0,4,0,0,0,0,4, ,24,2,24,1,2,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,1, ,2,2,2,2,2,2,10,7,1, , , , , , ,130, , ,130,130,130,1,181.171648722754
2023,10,03691,2,0078,1,1,202310036912007812,25,1,2,2,1,1, ,2,65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2023,10,03691,2,0078,1,1,202310036912007813,25,1,3,3,1,2, ,1,46,3,3,6,7,1977,1, , , , , , , , , , , , , , , ,7322,3100,3,5,2,3,1,2,0,10,0,10,10,10,0,40,12,52,1, ,2, ,2,2,2,120, , , , , ,260,10, , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,10,5,1, , , ,10, ,520, , ,260,790,520,790,1,193.734259254551
2023,10,03691,2,0079,1,1,202310036912007911,25,1,1,1,1,2, ,2,68,1,1,10,10,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,2, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,182.819139485795
2023,10,03691,2,0079,1,1,202310036912007912,25,1,2,2,1,2, ,1,70,2,1,20,1,1953,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,1,2, , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,1,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,193.734259254551
