ANIO,MES,AREA,ESTRATO,LLAVE_PANEL,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2022,10,1,1,202210106191007711,10619,1,0077,1,1,1,1,2, ,2,32,1,1,27,1,1990,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,289.277214832273
2022,10,1,1,202210106191007712,10619,1,0077,1,2,3,1,2, ,1,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,1,202210106191007811,10619,1,0078,1,1,1,1,2, ,2,45,1,1,9,4,1977,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,1, , ,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3, ,3,2,2,2,2,2,2,10,5,3, , , , , , , , , , , , ,1,209.482874194039
2022,10,1,1,202210106191007812,10619,1,0078,1,2,3,1,2, ,1,19,2,2,16,5,2003,1, , , , , , , , , , , , , , , ,9621,5320,2, ,3,2,1,1,4,10,10,10,10,10,10,64, ,64,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,2,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,5,1, , , , , , ,1200, , ,1200,1200,1200,1,383.547616281791
2022,10,1,1,202210106191007813,10619,1,0078,1,3,3,1,2, ,2,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,1,202210106191007814,10619,1,0078,1,4,3,1,2, ,2,24,4,4,22,9,1998,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,296.65978711723
2022,10,1,1,202210106191007815,10619,1,0078,1,5,5,1,2, ,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,1,202210106191008111,10619,1,0081,1,1,1,1,2, ,2,27,1,1,10,5,1995,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,6,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,5,2, , , , , , , , , , , , ,1,178.603788431901
2022,10,1,1,202210106191008112,10619,1,0081,1,2,2,1,2, ,1,29,2,2,11,9,1993,1, , , , , , , , , , , , , , , ,8141,4520,3,5,3,2,1,4,0,10,10,10,10,10,6,56, ,56,1, ,2, ,2,2,2,250, , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,6,1, , , , , ,1083, , , ,1083,1083,1083,1,329.392853010358
2022,10,1,1,202210106191008113,10619,1,0081,1,3,3,1,2, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,1,202210106191008114,10619,1,0081,1,4,3,1,2, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,1,202210106191018411,10619,1,0184,1,1,1,1,2, ,1,70,1,1,19,5,1952,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,1,1,3, , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,11,5, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,237.610973753326
2022,10,1,1,202210106191018412,10619,1,0184,1,2,6,1,2, ,2,90,2,1,2,1,1932,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,2,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1, , ,2,2,2,1,1,2,10,5,4, , , , , , , , , , , , ,1,209.482874194039
2022,10,1,1,20221010980011006411,1098001,1,0064,1,1,1,1,2, ,2,86,1,1,8,9,1936,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,3, , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,2, ,2,2,2,2,2,2,10,6,4, , , , , , , , , , , , ,1,155.536144040497
2022,10,1,1,20221010980011006412,1098001,1,0064,1,2,2,1,2, ,1,83,2,1,23,12,1938,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2, , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,2, ,2,2,1,1,2,2,10,9,4, , , , , , , , , , , , ,1,183.098215579198
2022,10,1,1,20221010980011006413,1098001,1,0064,1,3,3,1,2, ,1,53,3,3,2,1,1969,1, , , , , , , , , , , , , , , ,9311,4923,3,5,3,2,1,3,0,6,6,0,0,6,6,24,2,26,1, ,1,1,1,2,2,120, , , ,25, , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1, , , , , ,520, ,25, ,545,520,545,1,198.623323902039
2022,10,1,1,20221010980011006511,1098001,1,0065,1,1,1,1,2, ,1,46,1,1,25,11,1975,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,3,0,9,9,9,9,9,9,54, ,54,1, ,2, ,2,2,2,300, , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,3, ,2,2,2,2,2,2,2,10,7,1, , , , , ,1299, , , ,1299,1299,1299,1,213.00333069594
2022,10,1,1,20221010980011006512,1098001,1,0065,1,2,2,1,2, ,2,40,2,2,30,8,1982,1, , , , , , , , , , , , , , , ,9211,0125,3,5,1, ,5,9000,0,8,8,8,8,8,8,48,22,70,1, ,2, ,2,2,3,600,120, , , , ,300,200, , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,3, ,2,2,2,2,2,2,2,10,8,1,520, , ,200, ,1200, , ,300,2220,1720,2220,1,220.763648626833
2022,10,1,1,20221010980011006514,1098001,1,0065,1,3,3,1,2, ,2,13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,1,20221010980011006515,1098001,1,0065,1,4,3,1,2, ,2,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,1,20221010980011006516,1098001,1,0065,1,5,3,1,2, ,2,18,5,5,14,11,2003,1, , , , , , , , , , , , , , , ,9533,4799,2, ,3,2,1,1,1,2,1,1,2,2,1,10,30,40,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,8,1, ,60, , , , ,115, , ,175,175,175,1,256.238168992202
2022,10,1,1,20221010980011006517,1098001,1,0065,1,6,4,1,2, ,1,20,6,6,20,5,2002,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,2,25,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2,3,700, , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1, , , , , ,1400, , , ,1400,1400,1400,1,284.775164147969
2022,10,1,1,20221010980011006611,1098001,1,0066,1,1,1,1,2, ,1,35,1,1,6,8,1987,1, , , , , , , , , , , , , , , ,9411,5630,2, ,3,2,1,2,6,8,8,0,8,8,10,48, ,48,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,4, ,6,2,2,2,2,2,2,10,5,1, ,217, , , , ,899, , ,1116,1116,1116,1,248.09698483226
2022,10,1,1,20221010980011006612,1098001,1,0066,1,2,2,1,2, ,2,30,2,2,11,1,1992,1, , , , , , , , , , , , , , , ,9211,0125,3,5,1, ,5,1000,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,2,340,120, , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,8,1,520, , , , ,1472, , , ,1992,1992,1992,1,211.281299567246
2022,10,1,1,20221010980011006613,1098001,1,0066,1,3,3,1,2, ,2,14,3,3,20,4,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,220.262978662526
2022,10,1,1,20221010980011006614,1098001,1,0066,1,4,3,1,2, ,2,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,10,1,1,20221010980011006811,1098001,1,0068,1,1,1,1,2, ,1,32,1,1,3,12,1989,1, , , , , , , , , , , , , , , ,8321,4922,2, ,3,2,1,1,10,11,11,6,11,11,11,71, ,71,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1, , , , , , ,1272, , ,1272,1272,1272,1,244.566501221556
2022,10,1,1,20221010980011006812,1098001,1,0068,1,2,2,1,2, ,2,39,2,2,7,2,1983,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,6,4, , , , , , , , , , , , ,1,214.781583852247
2022,10,1,1,20221010980011006813,1098001,1,0068,1,3,3,1,2, ,2,14,3,3,14,9,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,2,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,1, ,2,2,2,2,2,2,10,5,4, , , , , , , , , , , , ,1,220.262978662526
