ANIO,MES,AREA,ESTRATO,LLAVE_PANEL,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2023,01,1,2,202301015653013911,01565,3,0139,1,1,1,1,2, ,1,27,1,1,19,7,1995,1, , , , , , , , , , , , , , , ,5141,9602,2, ,3,2,1,1,0,8,8,7,7,8,0,38,27,65,1, ,2, ,2,2, , , , , , , ,600, , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,866, ,600,1466,866,1466,1,158.240678110608
2023,01,1,2,202301015653013912,01565,3,0139,1,2,2,1,2, ,2,25,2,2,1,10,1997,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,144.154049770928
2023,01,1,2,202301015653013913,01565,3,0139,1,3,3,1,2, ,1,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,01,1,2,202301015653013914,01565,3,0139,1,4,7,1,2, ,1,30,4,4,14,9,1992,1, , , , , , , , , , , , , , , ,9622,4663,3,5,2,1,2,50,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1350, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,5,1, , , , ,87,1350, , , ,1350,1350,1437,1,158.240678110608
2023,01,1,2,20230101549022001211,0154902,2,0012,1,1,1,1,2, ,1,70,1,1,20,11,1952,1, , , , , , , , , , , , , , , ,8322,4922,2, ,3,2,1,1,0,1,1,1,1,1,0,5, ,5,1, ,1,1,1,2, , , , , , , , , , , , , , , , ,1,1,4,2, ,2, ,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,9,3, ,2,2,2,2,2,2,10,7,1, , , , , , ,230, , ,230,230,230,1,208.618813125932
2023,01,1,2,20230101549022001212,0154902,2,0012,1,2,2,1,2, ,2,62,2,2,14,11,1960,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,147.193963886835
2023,01,1,2,20230144929013004011,4492901,3,0040,1,1,1,1,2, ,1,34,1,1,13,4,1988,1, , , , , , , , , , , , , , , ,7322,3100,3,5,1, ,1,16,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,1,3,900, , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,1, , , , ,67,1800, , , ,1800,1800,1867,1,100.674097821478
2023,01,1,2,20230144929013004012,4492901,3,0040,1,2,2,1,2, ,2,25,2,2,5,2,1997,1, , , , , , , , , , , , , , , ,5223,4719,3,5,1, ,3,60,8,8,8,0,8,8,8,48, ,48,1, ,2, ,2,2,4,1100, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,10,1, ,2,2,2,2,2,2,10,5,1, , , , ,242,1100, , , ,1100,1100,1342,1,84.310742732788
2023,01,1,2,20230144929013004013,4492901,3,0040,1,3,3,1,2, ,1,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2023,01,1,2,202210480233006211,48023,3,0062,1,1,1,1,2, ,1,56,1,1,25,7,1966,1, , , , , , , , , , , , , , , ,7111,4100,1, ,3,2,1,6,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,1,5,2, ,2, ,2, ,4,5, ,2,2,2,2,2,2,10,5,1, , , , , , ,4861, , ,4861,4861,4861,1,85.0986694596208
