ANIO,MES,AREA,ESTRATO,LLAVE_PANEL,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,FAC_T300
2022,01,1,2,202201014731001211,01473,1,0012,1,1,1,1,2, ,2,23,1,1,5,9,1998,1, , , , , , , , , , , , , , , ,5120,5610,2, ,3,2,1,1,8,8,0,0,0,0,8,24, ,24,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, ,500, , , , ,1200, , ,1700,1700,1700,1,292.08130367107
2022,01,1,2,202201014731001212,01473,1,0012,1,2,2,1,2, ,1,24,2,2,18,2,1997,1, , , , , , , , , , , , , , , ,9313,4100,3,5,3,2,1,4,0,9,9,9,9,9,5,50, ,50,1, ,2, ,2,2,2,300,7, , , , , , , , , , , , , ,1,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1,210, , , , ,1299, , , ,1509,1509,1509,1,290.972387385823
2022,01,1,2,202201014731001213,01473,1,0012,1,3,3,1,2, ,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,01,1,2,202201014731001311,01473,1,0013,1,1,1,1,2, ,1,47,1,1,30,10,1974,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2, ,7128,4330,2, ,3,2,1,8,0,8,8,8,8,8,5,45, ,45,1, ,2, ,2,2, , , , , , , , , , , , , , , , ,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,1, , , , , , ,3200, , ,3200,3200,3200,1,285.642670895161
2022,01,1,2,202201014731001312,01473,1,0013,1,2,2,1,2, ,2,42,2,2,27,1,1979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2, , , ,1,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,233.815216884065
2022,01,1,2,202201014731001313,01473,1,0013,1,3,3,1,2, ,1,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,01,1,2,202201014731001314,01473,1,0013,1,4,3,1,2, ,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,01,1,2,202201014731001315,01473,1,0013,1,5,3,1,2, ,1,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,01,1,2,202201014731001411,01473,1,0014,1,1,1,1,2, ,1,57,1,1,10,4,1964,2,1, , , , , , , , , , , , , , ,8322,8412,3,2, , ,5,9998,0,0,0,0,0,0,0,0, ,36,2,36,2, ,2,2,4,2800, , , , , , , , , , , , , , ,2,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1, , , , ,66,2800, , , ,2800,2800,2866,1,217.140717468277
2022,01,1,2,202201014731001412,01473,1,0014,1,2,2,1,2, ,2,46,2,2,29,9,1975,1, , , , , , , , , , , , , , , ,9121,8610,3,2, , ,5,2000,0,8,8,8,8,8,8,48, ,48,1, ,2, ,2,2,4,1800, , , , , , , , , , , , , , ,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , , , , ,1800, , , ,1800,1800,1800,1,197.88183116692
